"fact_id","prov_key","waktu_key","komoditas_key","jumlah_penduduk","sum_jumlah_sakit","sum_jumlah_mati","sum_vol_mutasi","sum_realisasi_karkas","avg_harga","harga_baseline","populasi_ternak","avg_konsumsi_bulanan","avg_pemotongan_bulanan","growth_populasi","avg_permintaan_bulanan","avg_produksi_bulanan","supply_risk_index","id_prov","nama_provinsi","tahun","bulan","kuartal","nama_bulan","id_komoditas","nama_komoditas"
829,1,49,1,5554,0,0,161,0,105386.78,125005,461487,759.16,4022.08,0.03,6110.85,1086695,0.079711,1,"Aceh",2024,1,1,"Januari",1,"Sapi"
1,1,49,2,5554,0,0,0,97.9,20567.77,28021,36541907,5758.48,184336.08,0.03,46353.04,3710143.64,0.045152,1,"Aceh",2024,1,1,"Januari",2,"Ayam"
853,2,49,1,4433,0,0,0,0,104581.14,102707,396717,1023.35,24243,-0.0153,3401.93,6737415.83,0.105214,2,"Bali",2024,1,1,"Januari",1,"Sapi"
25,2,49,2,4433,0,0,0,0,20682.28,31448,78212517,4326.16,125226.58,-0.0153,14381.44,7941010.71,0.02902,2,"Bali",2024,1,1,"Januari",2,"Ayam"
877,3,49,1,12431,0,0,0,0,142550,119730,21925,2652.03,12438.17,-0.0114,5993.1,3696387.5,0.141633,3,"Banten",2024,1,1,"Januari",1,"Sapi"
49,3,49,2,12431,0,0,0,0,39099.28,31170,189119394,11012.15,205372.58,-0.0114,24885.4,19201519.03,0.155113,3,"Banten",2024,1,1,"Januari",2,"Ayam"
901,4,49,1,2112,0,0,159,0,106317.09,125005,111626,390.76,15398.17,-0.0034,3413.02,4361728.33,0.09013,4,"Bengkulu",2024,1,1,"Januari",1,"Sapi"
73,4,49,2,2112,0,0,0,0,20946.92,24147,10898392,1781.29,294562.83,-0.0034,15558.47,1106526.81,0.073354,4,"Bengkulu",2024,1,1,"Januari",2,"Ayam"
925,5,49,1,3759,0,0,0,0,106201.62,119143,285797,902.28,19143.83,0.0331,2861.87,5626474.17,0.078405,5,"DI Yogyakarta",2024,1,1,"Januari",1,"Sapi"
97,5,49,2,3759,0,0,0,0,21011.27,27736,55132945,2982.54,50248.25,0.0331,9460.06,5597714.09,0.050125,5,"DI Yogyakarta",2024,1,1,"Januari",2,"Ayam"
121,6,49,2,10684,0,0,0,0,39321.01,36674,831895,8084.91,52161.25,-0.0192,29018.33,10156.11,0.11661,6,"DKI Jakarta",2024,1,1,"Januari",2,"Ayam"
949,6,49,1,10684,0,0,0,0,163110.14,109127,2684,2493.14,8721.25,-0.0192,8948.38,1843202.5,0.205889,6,"DKI Jakarta",2024,1,1,"Januari",1,"Sapi"
973,7,49,1,1227,0,0,0,0,106039.72,105074,158436,213.84,13449.25,0.0318,1706.99,3475329.17,0.1033,7,"Gorontalo",2024,1,1,"Januari",1,"Sapi"
145,7,49,2,1227,0,0,150,0,20933.06,32446,6731168,958.71,70711.17,0.0318,7652.85,683423.56,0.034946,7,"Gorontalo",2024,1,1,"Januari",2,"Ayam"
997,8,49,1,3724,0,0,0,0,104575.29,127727,112906,943.49,4729.83,0.0204,3426.69,1411351.67,0.063056,8,"Jambi",2024,1,1,"Januari",1,"Sapi"
169,8,49,2,3724,0,0,0,0,21497.81,26371,48081284,3472.91,73671.92,0.0204,12613.36,4881750.5,0.062309,8,"Jambi",2024,1,1,"Januari",2,"Ayam"
1021,9,49,1,50345,0,0,0,0,157215.94,94484,309752,13593.2,7806.92,-0.0152,6197.67,2122480,0.241655,9,"Jawa Barat",2024,1,1,"Januari",1,"Sapi"
193,9,49,2,50345,0,0,0,147.33,37205.07,27692,716619015,34612.33,224430.75,-0.0152,15781.12,72759188.58,0.173949,9,"Jawa Barat",2024,1,1,"Januari",2,"Ayam"
217,10,49,2,37892,0,0,0,0,38905.07,30123,634673943,39155.38,96411.25,0.0281,24787.56,64439207.01,0.162963,10,"Jawa Tengah",2024,1,1,"Januari",2,"Ayam"
1045,10,49,1,37892,0,0,0,55.74,143497.83,92583,1284673,10041.46,6098.17,0.0281,6690.21,1659267.5,0.217565,10,"Jawa Tengah",2024,1,1,"Januari",1,"Sapi"
241,11,49,2,41814,46,3,0,0,30718.84,29663,426320073,52128.74,62828.67,0.034,29495.37,43284788.56,0.108881,11,"Jawa Timur",2024,1,1,"Januari",2,"Ayam"
1069,11,49,1,41814,0,0,0,0,136550,124770,3617392,7491.76,6256.33,0.034,4238.97,1647340.83,0.121309,11,"Jawa Timur",2024,1,1,"Januari",1,"Sapi"
265,12,49,2,5695,0,0,0,271.55,20773.65,23396,58018198,4020.07,205035.33,0.0132,18890.82,5890657.23,0.077673,12,"Kalimantan Barat",2024,1,1,"Januari",2,"Ayam"
1093,12,49,1,5695,0,0,0,0,105982.5,105802,100042,1048.92,7390.67,0.0132,4929.01,1754028.33,0.101719,12,"Kalimantan Barat",2024,1,1,"Januari",1,"Sapi"
1117,13,49,1,4273,0,0,0,0,106626.13,128521,112376,1160.94,3739.25,0.0145,5952.55,1002160,0.065359,13,"Kalimantan Selatan",2024,1,1,"Januari",1,"Sapi"
289,13,49,2,4273,0,0,0,0,20901.57,25962,94880597,4793.33,143371.67,0.0145,24577.09,9633340.89,0.06017,13,"Kalimantan Selatan",2024,1,1,"Januari",2,"Ayam"
1141,14,49,1,2809,0,0,108,0,107033.15,118716,73142,419.11,15350.08,-0.0166,4578.85,4112917.5,0.090873,14,"Kalimantan Tengah",2024,1,1,"Januari",1,"Sapi"
313,14,49,2,2809,62,23,0,0,20948.17,21140,33015669,2868.24,213309.5,-0.0166,31335.7,3352120.45,0.099475,14,"Kalimantan Tengah",2024,1,1,"Januari",2,"Ayam"
1165,15,49,1,4045,0,0,0,75.49,105707.78,111458,71949,1089.02,2466,-0.0051,11546.73,644951.67,0.090456,15,"Kalimantan Timur",2024,1,1,"Januari",1,"Sapi"
337,15,49,2,4045,0,0,0,0,20973.57,38929,60582142,3074.88,24328.17,-0.0051,32602.52,6150977.54,0.003895,15,"Kalimantan Timur",2024,1,1,"Januari",2,"Ayam"
361,16,49,2,739,0,0,0,244.88,20965.47,39559,4968048,625.75,107934.42,0.0094,28782.59,504411.91,0.002038,16,"Kalimantan Utara",2024,1,1,"Januari",2,"Ayam"
1189,16,49,1,739,0,0,0,0,104554.09,91746,18701,143.64,13793.75,0.0094,6607.24,3215653.33,0.130858,16,"Kalimantan Utara",2024,1,1,"Januari",1,"Sapi"
385,17,49,2,2183,0,0,0,0,21289.53,30851,18270546,2105.07,81219.33,-0.0063,21925.56,1855031.25,0.035868,17,"Kepulauan Riau",2024,1,1,"Januari",2,"Ayam"
1213,17,49,1,2183,0,0,150,0,103501.75,125141,16076,400.27,970,-0.0063,4169.08,200734.17,0.080545,17,"Kepulauan Riau",2024,1,1,"Januari",1,"Sapi"
1237,18,49,1,9419,0,0,0,546.38,105575.19,98149,878393,2072.31,5242,-0.0111,7083.66,1209650,0.117346,18,"Lampung",2024,1,1,"Januari",1,"Sapi"
409,18,49,2,9419,0,0,0,0,21392.62,35358,88469108,7865.37,56955.17,-0.0111,26885.7,8982374.66,0.017897,18,"Lampung",2024,1,1,"Januari",2,"Ayam"
433,19,49,2,1945,0,0,0,0,20934.89,20860,801640,1879.13,135727.75,0.0366,2711.2,81391.47,0.102117,19,"Maluku",2024,1,1,"Januari",2,"Ayam"
1261,19,49,1,1945,0,0,0,0,102940.99,96769,71137,423.17,12734,0.0366,610.55,2657964.17,0.114835,19,"Maluku",2024,1,1,"Januari",1,"Sapi"
457,20,49,2,1355,0,0,0,0,21140.56,24560,112539,1226.82,88533.67,0.0372,11146.72,11426.24,0.071938,20,"Maluku Utara",2024,1,1,"Januari",2,"Ayam"
1285,20,49,1,1355,30,8,0,12.33,104719.93,122722,44366,349.07,11163.17,0.0372,3171.58,3006056.67,0.081972,20,"Maluku Utara",2024,1,1,"Januari",1,"Sapi"
481,21,49,2,5646,0,0,0,0,26463.53,24927,40067329,4700.3,28304.08,0.0045,25610.48,4068084.03,0.114383,21,"Nusa Tenggara Barat",2024,1,1,"Januari",2,"Ayam"
